DATAFLOW,LAST UPDATE,freq,indic_em,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2009,10.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2010,10.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2011,10.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2012,9.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2013,9.1,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2014,8.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2015,8.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2016,7.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2017,8.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2018,9.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2019,8.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2020,8.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2021,8.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2022,7.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2023,7.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,AT,2024,6.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BA,2021,26.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BA,2022,27.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BA,2023,27.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BA,2024,27.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2009,12.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2010,11.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2011,11.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2012,11.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2013,10.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2014,8.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2015,8.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2016,9.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2017,9.8,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2018,8.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2019,8.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2020,8.1,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2021,7.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2022,7.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2023,7.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BE,2024,8.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2009,9.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2010,7.5,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2011,5.8,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2012,5.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2013,5.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2014,5.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2015,6.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2016,6.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2017,7.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2018,7.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2019,8.1,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2020,8.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2021,8.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2022,7.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2023,7.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,BG,2024,7.2,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CH,2010,12.9,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CH,2011,12.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CH,2012,11.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CH,2013,10.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CH,2014,9.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,CH,2015,9.7,,
